HOUR_,open,high,low,close,op_bought,op_sold,eth_bought,eth_sold,op_fees,eth_fees,trade_count,vwap
2026-01-01 00:00:00,11095.75034544465,11106.989666725916,11032.452806577958,11106.989666725916,3356.1767216516155,3956.0704802437103,0.3563141808708578,0.3042582116890326,11.86821144073113,0.0009127746350670977,19,11069.24252259284
2026-01-01 01:00:00,11110.92103691629,11152.220928380695,11110.92103691629,11152.220928380695,0.0,2448.7913018684294,0.21935764661726226,0.0,7.346373905605288,0.0,8,11133.50868230461
2026-01-01 02:00:00,11152.552064171596,11445.195225670768,11144.709460478385,11205.4576360256,32939.59530418598,35975.95901747421,3.1835269712022964,2.9303460692390573,107.92787705242264,0.008791038207717173,52,11293.224355353466
2026-01-01 03:00:00,11204.775494311225,11204.775494311225,11204.775494311225,11204.775494311225,33.51450363089273,0.0,0.0,0.003,0.0,9e-06,1,11204.775494311225
2026-01-01 04:00:00,11204.775549628474,11229.038696807484,11204.775549504515,11224.428880785279,6.090499215913e-06,1195.041218146861,0.10621972537744573,5.451984e-10,3.585123654440583,1.6355952000000003e-12,6,11220.184297041458
2026-01-01 05:00:00,11220.959053912138,11220.959053912138,11073.45120900127,11073.45120900127,9365.804858396685,1019.6373490467191,0.09159001131536626,0.8428914373340403,3.0589120471401574,0.0025286743120021206,26,11137.667613646481
2026-01-01 06:00:00,11073.451260774274,11073.451260774274,11056.6261013653,11056.6261013653,892.659868672333,0.0027260273972592,2.45438324278e-07,0.08091699483310963,8.1780821917776e-06,0.00024275098449932892,4,11062.102429402528
2026-01-01 08:00:00,11056.626152040923,11056.626152040923,11014.955315502035,11014.955315502035,2667.1896996140517,437.6292708193648,0.03956742266197372,0.2424431992146141,1.3128878124580943,0.0007273295976438424,7,11023.220343873334
2026-01-01 09:00:00,11006.50996483941,11006.50996483941,10938.29726743618,10940.463070401838,4193.118291414466,122.79719016145026,0.011191566368510125,0.38317601244175503,0.3683915704843508,0.0011495280373252652,12,10970.438605148081
2026-01-01 10:00:00,10940.463118483804,10940.463118483804,10905.046765643268,10906.00372001322,2034.190992149684,59.32577803551343,0.005423653676645025,0.1867958406099383,0.17797733410654032,0.0005603875218298149,9,10919.101500393406
2026-01-01 11:00:00,10897.49088985361,10897.49088985361,10881.882983750762,10884.491948213255,1474.0869521549957,160.0,0.014657470676171337,0.13571976446000483,0.48,0.0004071592933800145,4,10889.33199535805
2026-01-01 12:00:00,10884.491992666597,10947.854162322725,10884.491992569827,10912.744983900244,2239.1912624157067,3874.6887769898212,0.35388707939740155,0.2054844665132088,11.624066330969464,0.0006164533995396265,18,10922.604986520944
2026-01-01 13:00:00,10907.168071756993,10907.168071756993,10781.6737651845,10781.6737651845,9034.598676135327,256.26992777885584,0.023463979299131597,0.8353430606965387,0.7688097833365676,0.0025060291820896163,20,10845.504298156084
